election_date,state_code,party,votes,vote_share_percent,previous_votes,previous_vote_share_percent,change_percentage_points
2025-02-23,01,SPD,352546,18.752397,494055,28.02745,-9.275053
2025-02-23,01,CDU,518424,27.575671,388399,22.033647,5.542024
2025-02-23,01,GRÜNE,279923,14.889482,322763,18.310156,-3.420674
2025-02-23,01,FDP,88147,4.688658,220039,12.482683,-7.794026
2025-02-23,01,AfD,306165,16.285329,119566,6.782909,9.50242
2025-02-23,01,Die Linke,146428,7.788703,64238,3.644184,4.144519
2025-02-23,01,SSW,76138,4.049883,55578,3.152907,0.896976
2025-02-23,01,Die PARTEI,13729,0.730264,17870,1.013755,-0.283491
2025-02-23,01,FREIE WÄHLER,13675,0.727392,17043,0.966839,-0.239448
2025-02-23,01,Volt,16496,0.877444,4157,0.235824,0.64162
2025-02-23,01,MLPD,576,0.030638,322,0.018267,0.012371
2025-02-23,01,BÜNDNIS DEUTSCHLAND,2981,0.158563,,,
2025-02-23,01,BSW,64777,3.445576,,,
2025-02-23,01,dieBasis,,,23407,1.327865,-1.327865
2025-02-23,01,Team Todenhöfer,,,5305,0.30095,-0.30095
2025-02-23,01,ÖDP,,,1539,0.087307,-0.087307
2025-02-23,01,PdH,,,1763,0.100014,-0.100014
2025-02-23,01,Tierschutzpartei,,,20653,1.171633,-1.171633
